datetime,CZCE.TA005.open,CZCE.TA005.high,CZCE.TA005.low,CZCE.TA005.close,CZCE.TA005.volume,CZCE.TA005.open_oi,CZCE.TA005.close_oi
2019-11-22 22:47:00.000000000,4798.0,4798.0,4796.0,4796.0,64,597154,597170
2019-11-22 22:48:00.000000000,4796.0,4798.0,4796.0,4798.0,178,597170,597180
2019-11-22 22:49:00.000000000,4798.0,4798.0,4798.0,4798.0,52,597180,597208
2019-11-22 22:50:00.000000000,4798.0,4798.0,4796.0,4796.0,328,597208,597200
2019-11-22 22:51:00.000000000,4796.0,4796.0,4794.0,4794.0,482,597200,597476
2019-11-22 22:52:00.000000000,4794.0,4796.0,4794.0,4796.0,62,597476,597488
2019-11-22 22:53:00.000000000,4796.0,4798.0,4794.0,4798.0,114,597488,597492
2019-11-22 22:54:00.000000000,4798.0,4798.0,4798.0,4798.0,40,597492,597492
2019-11-22 22:55:00.000000000,4798.0,4800.0,4796.0,4798.0,72,597492,597492
2019-11-22 22:56:00.000000000,4798.0,4800.0,4798.0,4800.0,608,597492,597218
2019-11-22 22:57:00.000000000,4800.0,4800.0,4798.0,4798.0,330,597218,597142
2019-11-22 22:58:00.000000000,4798.0,4800.0,4796.0,4798.0,94,597142,597136
2019-11-22 22:59:00.000000000,4798.0,4800.0,4796.0,4800.0,150,597136,597162
2019-11-22 23:00:00.000000000,4800.0,4802.0,4800.0,4800.0,522,597162,597312
2019-11-22 23:01:00.000000000,4800.0,4802.0,4800.0,4802.0,96,597312,597318
2019-11-22 23:02:00.000000000,4802.0,4806.0,4802.0,4804.0,348,597318,597346
2019-11-22 23:03:00.000000000,4804.0,4806.0,4804.0,4806.0,570,597346,597048
2019-11-22 23:04:00.000000000,4806.0,4808.0,4804.0,4808.0,1420,597048,596352
2019-11-22 23:05:00.000000000,4808.0,4808.0,4806.0,4806.0,320,596352,596326
2019-11-22 23:06:00.000000000,4806.0,4808.0,4806.0,4806.0,186,596326,596392
2019-11-22 23:07:00.000000000,4806.0,4806.0,4804.0,4806.0,70,596392,596354
2019-11-22 23:08:00.000000000,4806.0,4806.0,4806.0,4806.0,8,596354,596354
2019-11-22 23:09:00.000000000,4806.0,4806.0,4804.0,4804.0,134,596354,596384
2019-11-22 23:10:00.000000000,4804.0,4806.0,4800.0,4800.0,956,596384,596848
2019-11-22 23:11:00.000000000,4800.0,4802.0,4800.0,4802.0,58,596848,596852
2019-11-22 23:12:00.000000000,4802.0,4802.0,4800.0,4800.0,198,596852,596790
2019-11-22 23:13:00.000000000,4800.0,4802.0,4800.0,4800.0,132,596790,596826
2019-11-22 23:14:00.000000000,4800.0,4802.0,4800.0,4802.0,12,596826,596836
2019-11-22 23:15:00.000000000,4802.0,4802.0,4800.0,4800.0,226,596836,596974
2019-11-22 23:16:00.000000000,4800.0,4800.0,4800.0,4800.0,254,596974,597040
2019-11-22 23:17:00.000000000,4800.0,4800.0,4798.0,4800.0,176,597040,597018
2019-11-22 23:18:00.000000000,4800.0,4800.0,4798.0,4798.0,348,597018,597300
2019-11-22 23:19:00.000000000,4798.0,4798.0,4798.0,4798.0,64,597300,597348
2019-11-22 23:20:00.000000000,4798.0,4798.0,4796.0,4796.0,90,597348,597410
2019-11-22 23:21:00.000000000,4796.0,4798.0,4796.0,4798.0,36,597410,597438
2019-11-22 23:22:00.000000000,4798.0,4798.0,4796.0,4796.0,46,597438,597472
2019-11-22 23:23:00.000000000,4796.0,4798.0,4796.0,4798.0,514,597472,597570
2019-11-22 23:24:00.000000000,4798.0,4800.0,4798.0,4800.0,56,597570,597570
2019-11-22 23:25:00.000000000,4800.0,4800.0,4798.0,4798.0,46,597570,597556
2019-11-22 23:26:00.000000000,4798.0,4800.0,4798.0,4798.0,164,597556,597622
2019-11-22 23:27:00.000000000,4798.0,4800.0,4798.0,4800.0,390,597622,597430
2019-11-22 23:28:00.000000000,4800.0,4800.0,4798.0,4800.0,256,597430,597394
2019-11-22 23:29:00.000000000,4800.0,4800.0,4792.0,4792.0,932,597394,597622
2019-11-25 09:00:00.000000000,4794.0,4798.0,4792.0,4796.0,1316,597622,597980
2019-11-25 09:01:00.000000000,4796.0,4796.0,4794.0,4796.0,402,597980,597948
2019-11-25 09:02:00.000000000,4796.0,4798.0,4788.0,4788.0,1888,597948,598510
2019-11-25 09:03:00.000000000,4788.0,4794.0,4788.0,4792.0,546,598510,598362
2019-11-25 09:04:00.000000000,4792.0,4794.0,4790.0,4792.0,2090,598362,599300
2019-11-25 09:05:00.000000000,4792.0,4792.0,4776.0,4778.0,6546,599300,598856
2019-11-25 09:06:00.000000000,4778.0,4778.0,4766.0,4772.0,7014,598856,599594
2019-11-25 09:07:00.000000000,4772.0,4774.0,4770.0,4770.0,3722,599594,601662
2019-11-25 09:08:00.000000000,4770.0,4776.0,4768.0,4770.0,6488,601662,603088
2019-11-25 09:09:00.000000000,4770.0,4774.0,4768.0,4772.0,3026,603088,604270
2019-11-25 09:10:00.000000000,4772.0,4782.0,4770.0,4780.0,3280,604270,604328
2019-11-25 09:11:00.000000000,4780.0,4782.0,4778.0,4782.0,1886,604328,603902
2019-11-25 09:12:00.000000000,4782.0,4782.0,4776.0,4780.0,1518,603902,604216
2019-11-25 09:13:00.000000000,4780.0,4782.0,4778.0,4782.0,2318,604216,604474
2019-11-25 09:14:00.000000000,4782.0,4784.0,4780.0,4782.0,788,604474,604314
2019-11-25 09:15:00.000000000,4782.0,4786.0,4782.0,4786.0,1330,604314,604898
2019-11-25 09:16:00.000000000,4786.0,4786.0,4780.0,4784.0,1138,604898,605624
2019-11-25 09:17:00.000000000,4784.0,4784.0,4780.0,4780.0,598,605624,605942
2019-11-25 09:18:00.000000000,4780.0,4780.0,4778.0,4780.0,870,605942,606472
2019-11-25 09:19:00.000000000,4780.0,4780.0,4776.0,4778.0,1368,606472,607230
2019-11-25 09:20:00.000000000,4778.0,4778.0,4774.0,4776.0,736,607230,607504
2019-11-25 09:21:00.000000000,4776.0,4780.0,4776.0,4780.0,614,607504,607370
2019-11-25 09:22:00.000000000,4780.0,4782.0,4780.0,4782.0,296,607370,607372
2019-11-25 09:23:00.000000000,4782.0,4782.0,4780.0,4780.0,256,607372,607526
2019-11-25 09:24:00.000000000,4780.0,4784.0,4780.0,4782.0,372,607526,607506
2019-11-25 09:25:00.000000000,4782.0,4784.0,4782.0,4782.0,130,607506,607474
2019-11-25 09:26:00.000000000,4782.0,4784.0,4780.0,4782.0,130,607474,607496
2019-11-25 09:27:00.000000000,4782.0,4784.0,4780.0,4784.0,94,607496,607476
2019-11-25 09:28:00.000000000,4784.0,4784.0,4782.0,4782.0,164,607476,607424
2019-11-25 09:29:00.000000000,4782.0,4784.0,4782.0,4784.0,276,607424,607230
2019-11-25 09:30:00.000000000,4784.0,4784.0,4780.0,4782.0,1384,607230,607526
2019-11-25 09:31:00.000000000,4782.0,4788.0,4782.0,4788.0,1376,607526,607476
2019-11-25 09:32:00.000000000,4788.0,4788.0,4782.0,4784.0,1418,607476,607162
2019-11-25 09:33:00.000000000,4784.0,4784.0,4780.0,4782.0,826,607162,607414
2019-11-25 09:34:00.000000000,4782.0,4786.0,4782.0,4784.0,72,607414,607388
2019-11-25 09:35:00.000000000,4784.0,4786.0,4784.0,4786.0,830,607388,607414
2019-11-25 09:36:00.000000000,4786.0,4788.0,4784.0,4786.0,684,607414,607362
2019-11-25 09:37:00.000000000,4786.0,4788.0,4784.0,4786.0,2318,607362,607820
2019-11-25 09:38:00.000000000,4786.0,4788.0,4784.0,4786.0,2000,607820,606892
2019-11-25 09:39:00.000000000,4786.0,4786.0,4778.0,4782.0,836,606892,606804
2019-11-25 09:40:00.000000000,4782.0,4782.0,4776.0,4778.0,2156,606804,606462
2019-11-25 09:41:00.000000000,4778.0,4780.0,4776.0,4778.0,2752,606462,606032
2019-11-25 09:42:00.000000000,4778.0,4782.0,4778.0,4782.0,1308,606032,605824
2019-11-25 09:43:00.000000000,4782.0,4782.0,4780.0,4780.0,330,605824,605748
2019-11-25 09:44:00.000000000,4780.0,4784.0,4780.0,4780.0,1154,605748,605448
2019-11-25 09:45:00.000000000,4780.0,4784.0,4780.0,4782.0,652,605448,605010
2019-11-25 09:46:00.000000000,4782.0,4784.0,4778.0,4782.0,1424,605010,604964
2019-11-25 09:47:00.000000000,4782.0,4784.0,4780.0,4782.0,1738,604964,604600
2019-11-25 09:48:00.000000000,4782.0,4786.0,4780.0,4784.0,276,604600,604634
2019-11-25 09:49:00.000000000,4784.0,4784.0,4782.0,4784.0,1372,604634,604234
2019-11-25 09:50:00.000000000,4784.0,4784.0,4782.0,4782.0,208,604234,604274
2019-11-25 09:51:00.000000000,4782.0,4784.0,4780.0,4780.0,1484,604274,603848
2019-11-25 09:52:00.000000000,4780.0,4782.0,4780.0,4782.0,1324,603848,603578
2019-11-25 09:53:00.000000000,4782.0,4784.0,4780.0,4782.0,448,603578,603558
2019-11-25 09:54:00.000000000,4782.0,4784.0,4782.0,4782.0,106,603558,603566
2019-11-25 09:55:00.000000000,4782.0,4782.0,4780.0,4782.0,194,603566,603586
2019-11-25 09:56:00.000000000,4782.0,4782.0,4780.0,4780.0,614,603586,603710
2019-11-25 09:57:00.000000000,4780.0,4784.0,4780.0,4784.0,110,603710,603756
2019-11-25 09:58:00.000000000,4784.0,4784.0,4782.0,4782.0,180,603756,603878
2019-11-25 09:59:00.000000000,4782.0,4782.0,4780.0,4782.0,108,603878,603952
2019-11-25 10:00:00.000000000,4782.0,4782.0,4778.0,4780.0,522,603952,604180
2019-11-25 10:01:00.000000000,4780.0,4780.0,4776.0,4776.0,958,604180,604102
2019-11-25 10:02:00.000000000,4776.0,4780.0,4776.0,4776.0,694,604102,603998
2019-11-25 10:03:00.000000000,4776.0,4776.0,4774.0,4776.0,774,603998,604380
2019-11-25 10:04:00.000000000,4776.0,4778.0,4774.0,4778.0,676,604380,604392
2019-11-25 10:05:00.000000000,4778.0,4778.0,4774.0,4776.0,778,604392,604098
2019-11-25 10:06:00.000000000,4776.0,4776.0,4774.0,4774.0,194,604098,604088
2019-11-25 10:07:00.000000000,4774.0,4778.0,4774.0,4778.0,508,604088,604200
2019-11-25 10:08:00.000000000,4778.0,4778.0,4776.0,4776.0,284,604200,604006
2019-11-25 10:09:00.000000000,4776.0,4776.0,4774.0,4774.0,212,604006,604044
2019-11-25 10:10:00.000000000,4774.0,4776.0,4772.0,4774.0,2022,604044,604606
2019-11-25 10:11:00.000000000,4774.0,4776.0,4774.0,4774.0,144,604606,604618
2019-11-25 10:12:00.000000000,4774.0,4778.0,4774.0,4778.0,404,604618,604510
2019-11-25 10:13:00.000000000,4778.0,4780.0,4776.0,4778.0,474,604510,604418
2019-11-25 10:14:00.000000000,4778.0,4778.0,4774.0,4776.0,394,604418,604532
2019-11-25 10:30:00.000000000,4776.0,4778.0,4774.0,4778.0,650,604532,604676
2019-11-25 10:31:00.000000000,4778.0,4780.0,4776.0,4780.0,392,604676,604622
2019-11-25 10:32:00.000000000,4780.0,4780.0,4780.0,4780.0,92,604622,604632
2019-11-25 10:33:00.000000000,4780.0,4780.0,4776.0,4778.0,732,604632,604812
2019-11-25 10:34:00.000000000,4778.0,4782.0,4778.0,4782.0,130,604812,604822
2019-11-25 10:35:00.000000000,4782.0,4784.0,4782.0,4782.0,516,604822,604526
2019-11-25 10:36:00.000000000,4782.0,4786.0,4782.0,4786.0,898,604526,604416
2019-11-25 10:37:00.000000000,4786.0,4788.0,4784.0,4786.0,1130,604416,603850
2019-11-25 10:38:00.000000000,4786.0,4788.0,4786.0,4788.0,184,603850,603864
2019-11-25 10:39:00.000000000,4788.0,4788.0,4782.0,4782.0,480,603864,604186
2019-11-25 10:40:00.000000000,4782.0,4788.0,4782.0,4786.0,194,604186,604096
2019-11-25 10:41:00.000000000,4786.0,4788.0,4784.0,4784.0,384,604096,604138
2019-11-25 10:42:00.000000000,4784.0,4788.0,4784.0,4786.0,282,604138,604210
2019-11-25 10:43:00.000000000,4786.0,4788.0,4784.0,4788.0,670,604210,603880
2019-11-25 10:44:00.000000000,4788.0,4794.0,4788.0,4794.0,2254,603880,604440
2019-11-25 10:45:00.000000000,4794.0,4796.0,4792.0,4794.0,1378,604440,604570
2019-11-25 10:46:00.000000000,4794.0,4794.0,4792.0,4792.0,442,604570,604738
2019-11-25 10:47:00.000000000,4792.0,4794.0,4792.0,4794.0,730,604738,604668
2019-11-25 10:48:00.000000000,4794.0,4796.0,4792.0,4792.0,1524,604668,605242
2019-11-25 10:49:00.000000000,4792.0,4794.0,4790.0,4792.0,398,605242,605102
2019-11-25 10:50:00.000000000,4792.0,4796.0,4792.0,4794.0,398,605102,605006
2019-11-25 10:51:00.000000000,4794.0,4796.0,4794.0,4794.0,498,605006,605204
2019-11-25 10:52:00.000000000,4794.0,4798.0,4794.0,4798.0,1364,605204,605946
2019-11-25 10:53:00.000000000,4798.0,4802.0,4796.0,4802.0,2050,605946,606104
