datetime,DCE.l2001.open,DCE.l2001.high,DCE.l2001.low,DCE.l2001.close,DCE.l2001.volume,DCE.l2001.open_oi,DCE.l2001.close_oi
2019-10-09 11:27:00.000000000,7395.0,7400.0,7395.0,7400.0,40,629162,629166
2019-10-09 11:28:00.000000000,7400.0,7400.0,7395.0,7395.0,254,629166,629174
2019-10-09 11:29:00.000000000,7395.0,7400.0,7395.0,7400.0,1232,629174,628902
2019-10-09 13:30:00.000000000,7395.0,7400.0,7395.0,7400.0,1350,628902,629020
2019-10-09 13:31:00.000000000,7400.0,7400.0,7395.0,7395.0,174,629020,629060
2019-10-09 13:32:00.000000000,7395.0,7400.0,7390.0,7390.0,884,629060,628896
2019-10-09 13:33:00.000000000,7390.0,7395.0,7390.0,7390.0,302,628896,628874
2019-10-09 13:34:00.000000000,7390.0,7395.0,7385.0,7390.0,1460,628874,628690
2019-10-09 13:35:00.000000000,7390.0,7390.0,7385.0,7390.0,680,628690,628780
2019-10-09 13:36:00.000000000,7390.0,7395.0,7385.0,7390.0,890,628780,629144
2019-10-09 13:37:00.000000000,7390.0,7395.0,7390.0,7395.0,924,629144,628886
2019-10-09 13:38:00.000000000,7395.0,7400.0,7395.0,7395.0,214,628886,628902
2019-10-09 13:39:00.000000000,7395.0,7400.0,7395.0,7400.0,60,628902,628876
2019-10-09 13:40:00.000000000,7400.0,7400.0,7395.0,7395.0,60,628876,628896
2019-10-09 13:41:00.000000000,7395.0,7400.0,7390.0,7400.0,1136,628896,628776
2019-10-09 13:42:00.000000000,7400.0,7400.0,7395.0,7395.0,104,628776,628836
2019-10-09 13:43:00.000000000,7395.0,7400.0,7395.0,7395.0,38,628836,628844
2019-10-09 13:44:00.000000000,7395.0,7400.0,7390.0,7395.0,688,628844,628928
2019-10-09 13:45:00.000000000,7395.0,7395.0,7390.0,7390.0,128,628928,628854
2019-10-09 13:46:00.000000000,7390.0,7395.0,7390.0,7395.0,172,628854,628762
2019-10-09 13:47:00.000000000,7395.0,7400.0,7390.0,7395.0,936,628762,628810
2019-10-09 13:48:00.000000000,7395.0,7400.0,7395.0,7395.0,100,628810,628842
2019-10-09 13:49:00.000000000,7395.0,7400.0,7390.0,7390.0,506,628842,628914
2019-10-09 13:50:00.000000000,7390.0,7400.0,7390.0,7395.0,764,628914,629174
2019-10-09 13:51:00.000000000,7395.0,7400.0,7395.0,7400.0,134,629174,629152
2019-10-09 13:52:00.000000000,7400.0,7400.0,7395.0,7395.0,226,629152,629102
2019-10-09 13:53:00.000000000,7395.0,7400.0,7390.0,7395.0,1098,629102,628502
2019-10-09 13:54:00.000000000,7395.0,7395.0,7390.0,7395.0,164,628502,628462
2019-10-09 13:55:00.000000000,7395.0,7395.0,7390.0,7395.0,334,628462,628366
2019-10-09 13:56:00.000000000,7395.0,7395.0,7390.0,7395.0,220,628366,628160
2019-10-09 13:57:00.000000000,7395.0,7395.0,7390.0,7395.0,690,628160,628140
2019-10-09 13:58:00.000000000,7395.0,7395.0,7390.0,7395.0,834,628140,628022
2019-10-09 13:59:00.000000000,7395.0,7395.0,7390.0,7390.0,330,628022,628066
2019-10-09 14:00:00.000000000,7390.0,7395.0,7390.0,7395.0,298,628066,628284
2019-10-09 14:01:00.000000000,7395.0,7400.0,7390.0,7395.0,910,628284,628504
2019-10-09 14:02:00.000000000,7395.0,7405.0,7395.0,7405.0,1350,628504,629012
2019-10-09 14:03:00.000000000,7405.0,7405.0,7400.0,7405.0,310,629012,629034
2019-10-09 14:04:00.000000000,7405.0,7405.0,7400.0,7405.0,560,629034,629088
2019-10-09 14:05:00.000000000,7405.0,7405.0,7400.0,7400.0,44,629088,629078
2019-10-09 14:06:00.000000000,7400.0,7405.0,7400.0,7405.0,132,629078,629140
2019-10-09 14:07:00.000000000,7405.0,7405.0,7400.0,7405.0,388,629140,629070
2019-10-09 14:08:00.000000000,7405.0,7410.0,7400.0,7405.0,528,629070,629206
2019-10-09 14:09:00.000000000,7405.0,7415.0,7405.0,7415.0,950,629206,629220
2019-10-09 14:10:00.000000000,7415.0,7415.0,7405.0,7405.0,1914,629220,629426
2019-10-09 14:11:00.000000000,7405.0,7410.0,7400.0,7405.0,814,629426,629532
2019-10-09 14:12:00.000000000,7405.0,7405.0,7400.0,7405.0,206,629532,629586
2019-10-09 14:13:00.000000000,7405.0,7405.0,7400.0,7405.0,124,629586,629590
2019-10-09 14:14:00.000000000,7405.0,7405.0,7400.0,7405.0,302,629590,629676
2019-10-09 14:15:00.000000000,7405.0,7405.0,7400.0,7405.0,256,629676,629664
2019-10-09 14:16:00.000000000,7405.0,7410.0,7405.0,7405.0,972,629664,630064
2019-10-09 14:17:00.000000000,7405.0,7410.0,7405.0,7405.0,62,630064,630016
2019-10-09 14:18:00.000000000,7405.0,7410.0,7405.0,7410.0,66,630016,629986
2019-10-09 14:19:00.000000000,7410.0,7410.0,7405.0,7405.0,174,629986,630012
2019-10-09 14:20:00.000000000,7405.0,7415.0,7405.0,7405.0,4352,630012,629516
2019-10-09 14:21:00.000000000,7405.0,7410.0,7405.0,7405.0,1412,629516,629574
2019-10-09 14:22:00.000000000,7405.0,7410.0,7405.0,7410.0,2224,629574,629476
2019-10-09 14:23:00.000000000,7410.0,7425.0,7410.0,7415.0,6730,629476,626678
2019-10-09 14:24:00.000000000,7415.0,7420.0,7410.0,7410.0,778,626678,626656
2019-10-09 14:25:00.000000000,7410.0,7415.0,7410.0,7415.0,54,626656,626630
2019-10-09 14:26:00.000000000,7415.0,7415.0,7410.0,7410.0,332,626630,626600
2019-10-09 14:27:00.000000000,7410.0,7415.0,7410.0,7415.0,154,626600,626584
2019-10-09 14:28:00.000000000,7415.0,7415.0,7410.0,7410.0,108,626584,626586
2019-10-09 14:29:00.000000000,7410.0,7415.0,7410.0,7415.0,184,626586,626598
2019-10-09 14:30:00.000000000,7415.0,7415.0,7405.0,7410.0,940,626598,626806
2019-10-09 14:31:00.000000000,7410.0,7415.0,7405.0,7415.0,672,626806,626856
2019-10-09 14:32:00.000000000,7415.0,7415.0,7405.0,7410.0,596,626856,626688
2019-10-09 14:33:00.000000000,7410.0,7410.0,7405.0,7410.0,10,626688,626684
2019-10-09 14:34:00.000000000,7410.0,7410.0,7405.0,7410.0,892,626684,626226
2019-10-09 14:35:00.000000000,7410.0,7410.0,7405.0,7410.0,486,626226,626264
2019-10-09 14:36:00.000000000,7410.0,7410.0,7405.0,7405.0,300,626264,626242
2019-10-09 14:37:00.000000000,7405.0,7410.0,7400.0,7400.0,1114,626242,626152
2019-10-09 14:38:00.000000000,7400.0,7405.0,7400.0,7400.0,676,626152,626052
2019-10-09 14:39:00.000000000,7400.0,7405.0,7395.0,7395.0,2256,626052,626392
2019-10-09 14:40:00.000000000,7395.0,7400.0,7395.0,7400.0,474,626392,626238
2019-10-09 14:41:00.000000000,7400.0,7400.0,7395.0,7395.0,214,626238,626168
2019-10-09 14:42:00.000000000,7395.0,7405.0,7395.0,7395.0,1616,626168,626110
2019-10-09 14:43:00.000000000,7395.0,7400.0,7395.0,7395.0,120,626110,626172
2019-10-09 14:44:00.000000000,7395.0,7400.0,7395.0,7395.0,138,626172,626248
2019-10-09 14:45:00.000000000,7395.0,7400.0,7390.0,7400.0,1966,626248,626346
2019-10-09 14:46:00.000000000,7400.0,7400.0,7395.0,7400.0,182,626346,626358
2019-10-09 14:47:00.000000000,7400.0,7400.0,7395.0,7395.0,466,626358,626280
2019-10-09 14:48:00.000000000,7395.0,7400.0,7395.0,7395.0,292,626280,626224
2019-10-09 14:49:00.000000000,7395.0,7400.0,7395.0,7395.0,300,626224,626234
2019-10-09 14:50:00.000000000,7395.0,7400.0,7395.0,7395.0,512,626234,626326
2019-10-09 14:51:00.000000000,7395.0,7400.0,7395.0,7400.0,292,626326,626126
2019-10-09 14:52:00.000000000,7400.0,7400.0,7395.0,7395.0,434,626126,626008
2019-10-09 14:53:00.000000000,7395.0,7400.0,7395.0,7400.0,1098,626008,626302
2019-10-09 14:54:00.000000000,7400.0,7405.0,7395.0,7400.0,1598,626302,626294
2019-10-09 14:55:00.000000000,7400.0,7400.0,7390.0,7390.0,2822,626294,626272
2019-10-09 14:56:00.000000000,7390.0,7395.0,7390.0,7395.0,702,626272,626226
2019-10-09 14:57:00.000000000,7395.0,7400.0,7390.0,7395.0,1530,626226,625834
2019-10-09 14:58:00.000000000,7395.0,7400.0,7395.0,7400.0,900,625834,625550
2019-10-09 14:59:00.000000000,7400.0,7400.0,7390.0,7390.0,3784,625550,624678
2019-10-09 21:00:00.000000000,7395.0,7405.0,7390.0,7400.0,4188,624678,626458
2019-10-09 21:01:00.000000000,7400.0,7400.0,7395.0,7400.0,1000,626458,626598
2019-10-09 21:02:00.000000000,7400.0,7400.0,7390.0,7395.0,2902,626598,627414
2019-10-09 21:03:00.000000000,7395.0,7400.0,7395.0,7395.0,2028,627414,627952
2019-10-09 21:04:00.000000000,7395.0,7405.0,7395.0,7405.0,958,627952,627966
2019-10-09 21:05:00.000000000,7405.0,7405.0,7400.0,7400.0,330,627966,627974
2019-10-09 21:06:00.000000000,7400.0,7415.0,7400.0,7410.0,2182,627974,628190
2019-10-09 21:07:00.000000000,7410.0,7415.0,7405.0,7410.0,4808,628190,629708
2019-10-09 21:08:00.000000000,7410.0,7420.0,7405.0,7405.0,4658,629708,630430
2019-10-09 21:09:00.000000000,7405.0,7410.0,7405.0,7410.0,1280,630430,630476
2019-10-09 21:10:00.000000000,7410.0,7410.0,7405.0,7410.0,618,630476,630356
2019-10-09 21:11:00.000000000,7410.0,7415.0,7405.0,7415.0,626,630356,630092
2019-10-09 21:12:00.000000000,7415.0,7415.0,7410.0,7415.0,124,630092,630098
2019-10-09 21:13:00.000000000,7415.0,7415.0,7410.0,7415.0,194,630098,630050
2019-10-09 21:14:00.000000000,7415.0,7415.0,7410.0,7410.0,396,630050,630094
2019-10-09 21:15:00.000000000,7410.0,7415.0,7410.0,7410.0,242,630094,630074
2019-10-09 21:16:00.000000000,7410.0,7415.0,7405.0,7410.0,1448,630074,629926
2019-10-09 21:17:00.000000000,7410.0,7410.0,7405.0,7410.0,292,629926,630054
2019-10-09 21:18:00.000000000,7410.0,7415.0,7405.0,7410.0,1802,630054,629842
2019-10-09 21:19:00.000000000,7410.0,7415.0,7410.0,7415.0,2718,629842,629010
2019-10-09 21:20:00.000000000,7415.0,7420.0,7415.0,7415.0,206,629010,629070
2019-10-09 21:21:00.000000000,7415.0,7420.0,7415.0,7415.0,1824,629070,628558
2019-10-09 21:22:00.000000000,7415.0,7420.0,7415.0,7415.0,232,628558,628600
2019-10-09 21:23:00.000000000,7415.0,7420.0,7415.0,7420.0,1992,628600,628296
2019-10-09 21:24:00.000000000,7420.0,7420.0,7415.0,7420.0,364,628296,628294
2019-10-09 21:25:00.000000000,7420.0,7420.0,7415.0,7420.0,796,628294,628388
2019-10-09 21:26:00.000000000,7420.0,7420.0,7415.0,7415.0,226,628388,628414
2019-10-09 21:27:00.000000000,7415.0,7425.0,7415.0,7420.0,1328,628414,628536
2019-10-09 21:28:00.000000000,7420.0,7425.0,7420.0,7425.0,1008,628536,628852
2019-10-09 21:29:00.000000000,7425.0,7425.0,7420.0,7425.0,2078,628852,629310
2019-10-09 21:30:00.000000000,7425.0,7430.0,7420.0,7420.0,1662,629310,629738
2019-10-09 21:31:00.000000000,7420.0,7425.0,7420.0,7425.0,670,629738,629734
2019-10-09 21:32:00.000000000,7425.0,7425.0,7420.0,7425.0,218,629734,629770
2019-10-09 21:33:00.000000000,7425.0,7425.0,7420.0,7420.0,512,629770,629784
2019-10-09 21:34:00.000000000,7420.0,7425.0,7420.0,7420.0,148,629784,629828
2019-10-09 21:35:00.000000000,7420.0,7425.0,7420.0,7425.0,700,629828,629942
2019-10-09 21:36:00.000000000,7425.0,7425.0,7420.0,7425.0,528,629942,629590
2019-10-09 21:37:00.000000000,7425.0,7425.0,7420.0,7425.0,414,629590,629644
2019-10-09 21:38:00.000000000,7425.0,7425.0,7420.0,7425.0,386,629644,629678
2019-10-09 21:39:00.000000000,7425.0,7425.0,7420.0,7425.0,142,629678,629630
2019-10-09 21:40:00.000000000,7425.0,7425.0,7420.0,7425.0,212,629630,629642
